Event,Begin Date,End Date,Deaths,CPI-Adjusted Estimated Cost (In Billions),Summary
Tropical Storm Eta November 2020,11/8/2020,11/12/2020,12,$1.50 ,"Tropical Storm Eta made landfall in the Florida Keys on November 8 followed by a second landfall near Cedar Key on the west coast of Florida on November 10. Eta produced wind and heavy rain impacts in southern Florida. These impacts continued well inland, as Eta's energy merged with a cold front across several eastern states. This combination produced extreme rainfall across North Carolina and Virginia, which led to significant flooding that damaged homes, businesses and infrastructure. This flooding also caused one dozen fatalities."
Hurricane Zeta October 2020,10/28/2020,10/29/2020,6,$4.40 ,"Hurricane Zeta was a category 2 hurricane that made landfall at Cocodrie, Louisiana with maximum sustained winds of 110 mph on October 28th. Zeta's path inland saw an acceleration of its quick landfall speed to nearly 40 mph, which allowed the wind fields to maintain some strength. These wind impacts propagated well inland affecting parts of Louisiana, Alabama, Mississippi, northern Georgia and into the Carolinas. Hurricane Zeta was the fifth tropical cyclone to make landfall in Louisiana during 2020 as part of a historically active Atlantic hurricane season."
Hurricane Delta October 2020,10/9/2020,10/11/2020,5,$2.90 ,"Hurricane Delta was a category 2 hurricane that made landfall near Creole, Louisiana with winds of 100 mph on October 9. This was nearly the same location in which category 4 Hurricane Laura made landfall 6 weeks prior. Heavy rainfall, high winds, storm surge, and nearly one dozen EF-0 or EF-1 tornadoes caused damage across several states including Louisiana, eastern Texas, Mississippi and Georgia."
Hurricane Sally September 2020,9/15/2020,9/17/2020,5,$7.30 ,"Hurricane Sally was a category 2 hurricane at landfall in Gulf Shores, Alabama. Wind gusts up to 100 mph and 20-30 inches of rainfall caused considerable flood and wind damage across Alabama, the Florida panhandle and into Georgia. Many homes and businesses in downtown Pensacola, FL were impacted from flooding produced by storm surge and heavy rainfall. 2020 is now the fourth consecutive year (2017-2020) that the U.S. has been impacted by a slow moving tropical cyclone that produced extreme rainfall and damaging floods - Harvey, Florence, Imelda and Sally."
Hurricane Laura August 2020,8/27/2020,8/28/2020,42,$19.00 ,"Hurricane Laura was a powerful category 4 that made landfall at Cameron Parish, in southwestern Louisiana on August 27. Winds up to 150 mph and storm surge in excess of 15 feet caused heavy damage along the coast and inland to the city of Lake Charles. Many broken water systems and a severely damaged electrical grid in southern Louisiana will slow the recovery process. Laura was the strongest hurricane (by maximum sustained windspeed at landfall) to hit Louisiana since the 1856 Last Island hurricane. Laura also had highest landfall wind speed to impact the U.S. since Hurricane Michael in 2018. There were additional impacts to surrounding states including Texas, Mississippi and Arkansas."
Central Severe Weather - Derecho August 2020,8/10/2020,8/10/2020,4,$11.00 ,"A powerful derecho traveled from southeast South Dakota to Ohio, a path of 770 miles in 14 hours producing widespread winds greater than 100 mph. The states most affected included Iowa, Illinois, Minnesota, Indiana and Ohio. This derecho caused widespread damage to millions of acres of corn and soybean crops across central Iowa. There was also severe damage to homes, businesses and vehicles particularly in Cedar Rapids, Iowa. In addition, there were 15 tornadoes across northeastern Illinois several affecting the Chicago metropolitan area. This is the third severe weather event (since 1980) with inflation-adjusted costs over $10.0 ($10.4) billion joining the late-April and May 2011 tornado outbreaks across the Southeastern and Central states, respectively."
Hurricane Isaias August 2020,8/3/2020,8/4/2020,16,$4.80 ,"Hurricane Isaias made landfall in southeastern North Carolina as a category 1 storm. Isaias accelerated up the East Coast, resulting in widespread damage and power outages across New York, New Jersey and Pennsylvania. There was also considerable inland flooding most notably in Pennsylvania. In addition, 34 tornadoes developed across North Carolina, Virginia, Maryland, Delaware and New Jersey due to Isaias. Many tornadoes were weaker (EF-0 and EF-1) producing scattered damage to agriculture, structures and residences. Isaias also produced several EF-2 tornadoes and one EF-3 tornado that caused damage in coastal North Carolina and Virginia."
Hurricane Hanna July 2020,7/25/2020,7/26/2020,0,$1.10 ,"Category 1 Hurricane Hanna made landfall at Padre Island, Texas on July 25 with sustained winds of 90 miles per hour. The impacts from wind, wave action and flooding were most notable in damaging coastal infrastructure and to the agriculture sector. The crop damage was most focused across the Rio Grande Valley in southern Texas."
Central Severe Weather July 2020,7/10/2020,7/11/2020,0,$1.20 ,"Central severe weather producing hundreds of severe hail and high wind reports across numerous states including Nebraska, South Dakota, Minnesota, Kansas, Oklahoma, Iowa, Illinois and Indiana. These storms caused impacts to many homes, vehicles and businesses."
South Texas Hail Storms May 2020,5/27/2020,5/27/2020,0,$1.40 ,"South Texas hail storms cause widespread impact to several cities with golf-ball sized hail damaging many homes, vehicles and businesses. The highest concentration of hail damage occurred across the northern portion of the San Antonio metroplex. There was also significant damage east of San Marcos, southeast of Waco and to the west and south of Bryan and College Station."
"South, Central and Eastern Severe Weather May 2020",5/20/2020,5/23/2020,2,$1.60 ,"A combination of thunderstorm high winds, hail and tornadoes affected numerous Southern, Central and Eastern states. The states most affected included Texas, Illinois and North Carolina with damage to homes, businesses and vehicles. Oklahoma, Arkansas, Indiana, Tennessee, Alabama, Georgia, Florida and South Carolina."
Central and Eastern Severe Weather May 2020,5/3/2020,5/5/2020,2,$2.10 ,"Severe weather across several Central and Eastern states including Kansas, Missouri, Arkansas, Tennessee and South Carolina. High wind and hail damage was notably clustered across southern Missouri and western to central Tennessee, which were the states with the highest damage totals for the event."
"Central, Southern and Eastern Severe Weather April 2020",4/27/2020,4/30/2020,1,$1.00 ,"Severe weather across many Central, Southern and Eastern states produced primarily large hail and high winds that caused widespread damage to many homes, vehicles and businesses. The states affected included Oklahoma, Texas, Missouri, Arkansas, Louisiana, Virginia, Pennsylvania, Maryland, Delaware and New Jersey."
Southern Severe Weather April 2020,4/21/2020,4/23/2020,3,$1.40 ,"Severe weather caused damage across many Southern states. The states most affected from a combination of high winds, hail and tornadoes included Texas, Oklahoma, Louisiana, Mississippi, Alabama, Georgia, Florida and Virginia. The states with the highest damage totals for the event were Oklahoma, Louisiana and Texas."
Southeast and Eastern Tornado Outbreak April 2020,4/12/2020,4/13/2020,35,$3.40 ,"Outbreak of at least 140 tornadoes from Texas to Maryland including 3 EF4s, 12 EF3s, 20 EF2s, 77 EF1s and 28 EF0s. Damage was extensive and highly destructive to many homes, vehicles and businesses across more than a dozen Southeast and Eastern states."
North Central and Ohio Valley Hail Storms and Severe Weather April 2020,4/7/2020,4/8/2020,0,$2.90 ,"Numerous hail storms caused widespread damage across many North Central and Ohio Valley states including Illinois, Iowa, Indiana, Ohio, Michigan, Wisconsin and Missouri. More than 20 tornadoes were also reorted across southern Indiana and Ohio. There was additional widespread high wind damage to homes, vehicles and businesses in many other surrounding states."
Midwest and Ohio Valley Severe Weather March 2020,3/27/2020,3/28/2020,0,$2.60 ,"Severe weather caused damage across many Midwest and Ohio Valley states including Missouri, Oklahoma, Texas, Illinois, Indiana, Ohio, Arkansas, Kentucky, Tennessee, West Virginia and Pennsylvania. The states most affected from a combination of high winds and hail were Missouri, Ohio and Arkansas. There were also two dozen tornadoes across Iowa, Illinois, Indiana and Arkansas causing additional damage."
Tennessee Tornadoes and Southeast Severe Weather March 2020,3/2/2020,3/4/2020,25,$2.30 ,"Powerful EF-3 and EF-4 tornadoes cause considerable damage across the Nashville metroplex and several counties east of Nashville. This damage included many homes, businesses, vehicles, 90 planes and numerous buildings at the Nashville airport. There was also additional hail and wind damage in the surrounding states including Alabama, Kentucky, Mississippi and Missouri."
"South, East and Northeast Severe Weather February 2020",2/5/2020,2/7/2020,3,$1.30 ,"Severe weather across many South, East and Northeastern states including AL, FL, GA, SC, LA, MS, TN, NC, VA, PA, RI, NY, NJ, MD and MA. There were more than 20 tornadoes clustered across central Mississippi into Tennessee. There were also hundreds of high wind damage reports from Florida to New Jersey, with the Carolinas and Florida receiving the most costly damage."
Southeast Tornadoes and Northern Storms and Flooding January 2020,1/10/2020,1/12/2020,10,$1.10 ,"More than 80 tornadoes and severe storms caused damage across many southeastern states (AL, AR, GA, IL, IN, KY, LA, MS, MO, NC, OH, SC, TN, TX, VA, WI). Storms and severe flooding also impacted northern states including Michigan, Wisconsin and New York. Significant damage occurred along the shoreline of Lake Michigan to roads, the foundation of homes and to Port Milwaukee. These powerful waves were generated by high winds and a lack of seasonal ice cover."
California and Alaska Wildfires Summer-Fall 2019,6/1/2019,11/30/2019,3,$4.50 ,"California experienced a damaging wildfire season in 2019, largely resulting from the Kincade and Saddle Ridge wildfires. In addition, a key California electrical utility provider turned off power to millions of homes and businesses several times during days with forecasted high winds and extremely dry conditions. This step was designed to minimize wildfires, with some success, but it also caused billions of dollars in losses to those affected. Alaska also suffered a near-historic wildfire season with more than 2.5 million acres burned. These wildfire conditions were primed due to Alaska's record-breaking heat and dry conditions during the summer months. July 2019 was the warmest month ever recorded in Alaska."
Texas Tornadoes and Central Severe Weather October 2019,10/20/2019,10/20/2019,2,$1.70 ,"Numerous tornadoes caused widespread damage across northern Dallas damaging thousands of homes, vehicles, businesses and other public infrastructure. Tornadoes up to EF-3 intensity with maximum winds of 140 mph tracked across a large section of highly developed northern Dallas. Additionally high winds and hail damage also caused damage in other states including Oklahoma, Missouri, Arkansas, Louisiana and Tennessee."
Tropical Storm Imelda September 2019,9/17/2019,9/21/2019,5,$5.00 ,"Tropical storm and its remnants cause 24 to 36 inches of rainfall over a 3-day period across a large area between Houston and Beaumont, Texas. The largest storm total, 43.39 inches, was reported at North Fork Taylors Bayou, Texas. Many thousands of homes, cars and businesses were impacted by flood water due to this extraordinarily heavy rainfall. Imelda is yet another of the historically extreme rainfall and flood events that have become a regular occurrence across Southeast Texas over the last 5 years."
Hurricane Dorian September 2019,8/28/2019,9/6/2019,10,$1.60 ,"Category 1 hurricane makes landfall on the Outer Banks of North Carolina, after devastating the northern Bahama Islands as a historically-powerful and slow-moving hurricane. Dorian tracked offshore parallel to the Florida, Georgia and South Carolina coastline before making a North Carolina landfall, bringing a destructive sound-side surge that inundated many coastal properties and isolated residents who did not evacuate. Significant flood, severe storm, and tornado damage to many homes and businesses occurred on the Outer Banks of North Carolina. Dorian's intensification to a category 5 storm marks the fourth consecutive year, in which a maximum category 5 storm developed in the Atlantic basin - a new record. Dorian also tied the record for maximum sustained wind speed for a landfalling hurricane (185 mph) in the Atlantic, a record shared with the historic 1935 Labor Day Hurricane."
"Mississippi River, Midwest and Southern Flooding July 2019",3/15/2019,7/31/2019,4,$6.20 ,"Additional major flooding impacted many Southern Plains states significantly affecting agriculture, roads, bridges, levees, dams and other assets across many cities and towns. The states most affected were Oklahoma, Nebraska, Missouri, Illinois, Kansas, Arkansas, Kentucky, Tennessee, Texas, Mississippi and Louisiana. Very high water levels also disrupted barge traffic along the Mississippi River, which negatively impacted a variety of dependent industries. Indiana and Ohio were also affected by persistent heavy rainfall that flooded farmland, which prevented and reduced crop planting by millions of acres."
Colorado Hail Storms July 2019,7/4/2019,7/5/2019,0,$1.00 ,Colorado hail storms across the Denver and Fort Collins that damaged many homes and vehicles.
Arkansas River Flooding June 2019,5/20/2019,6/14/2019,5,$3.00 ,"Historic flooding impacts the Arkansas River Basin with damage to homes, agriculture, roads, bridges and levees focused across eastern Oklahoma and western Arkansas. Thousands of homes, cars and businesses were flooded due a combination of high rivers, levee failure and persistently heavy rainfall from May 20 through June."
"Rockies, Central and Northeast Tornadoes and Severe Weather May 2019",5/26/2019,5/29/2019,3,$4.50 ,"A four-day tornado outbreak impacts many states across the Rockies, Central and Northeast (CO, WY, NE, KS, OK, MO, IA, IL, IN, OH, PA and NJ). This outbreak produced 190 tornadoes in addition to hundreds of reports of damaging hail and straight-line thunderstorm winds. Of particular note was an EF-4 tornado that produced heavy damage near the city of Dayton, Ohio on May 27."
Central Severe Weather May 2019,5/16/2019,5/18/2019,0,$1.00 ,"Central severe storms across the Illinois, Indiana, Iowa and Texas damaged many homes, businesses and vehicles."
South and Southeast Severe Weather May 2019,5/7/2019,5/13/2019,0,$1.50 ,"Persistent severe storms impacted numerous states from Texas to North Carolina (TX, OK, KS, AR, LA, MS, AL, NC). Tornadoes and damaging hail particularly affected Texas, Louisiana and North Carolina focused across the Raleigh metro region."
Southern and Eastern Tornadoes and Severe Weather April 2019,4/13/2019,4/14/2019,7,$1.30 ,"Tornado outbreak and severe storms impacted many states (TX, LA, MS, AL, GA, NC, OH and PA). More than 50 tornadoes occurred across central Mississippi and Alabama causing damage to vehicles, homes and businesses. More than 25 additional tornadoes also caused damage across several eastern states from Georgia to Pennsylvania. These severe storms also delivered damaging hail and high wind damage that was widespread across many Southern and and Eastern states."
Missouri River and North Central Flooding March 2019,3/14/2019,3/31/2019,3,$10.70 ,"Historic Midwest flooding inundated millions of acres of agriculture, numerous cities and towns, and caused widespread damage to roads, bridges, levees, and dams. The states most affected were Nebraska, Iowa, Missouri, South Dakota, Minnesota, North Dakota, Wisconsin and Michigan. This flood was triggered by a powerful storm with heavy precipitation that intensified snow melt and flooding. Of note, the Offutt Air Force Base in Nebraska was also severely flooded - the third U.S. military base to be damaged by a billion-dollar disaster event over a 6-month period (Sept 2018-Feb 2019). This historic flooding was one of the costliest U.S. inland flooding events on record."
Texas Hail Storm March 2019,3/22/2019,3/24/2019,0,$1.50 ,"Texas hail storm over the Dallas metroplex damaged many homes, businesses and vehicles. Oklahoma also received hail damage resulting from the same severe weather system."
"Southeast, Ohio Valley and Northeast Severe Weather February 2019",2/23/2019,2/25/2019,2,$1.20 ,"Tornadoes, severe weather and flooding in the south (MS, AL, TN) and high-wind damage across many Ohio Valley (IL, IN, OH) and Northeastern states (CT, MD, MA, NJ, NY, PA, VA, WV). This storm system produced heavy rain that caused major flooding along parts of the Ohio, Mississippi and Tennessee rivers."
"Western Wildfires, California Firestorm Summer-Fall 2018",6/1/2018,12/31/2018,106,$24.00 ,"In 2018, California has experienced its costliest, deadliest and largest wildfires to date, with records back to 1933. The Camp Fire is the costliest and deadliest wildfire - destroying more than 18,500 buildings. California also endured its largest wildfire on record - the Medincino Complex Fire - burning over 450,000 acres. Additionally, California was impacted by other destructive wildfires: the Carr Fire in Northern California and the Woolsey Fire in Southern California. The total 2018 wildfire costs in California (with minor costs in other Western states) approach $24.0 ($25.7) billion - a new U.S. record. In total, over 8.7 million acres has burned across the U.S. during 2018, which is well above the 10-year average (2009-2018) of 6.8 million acres. The last 2 years of U.S. wildfire damage has been unprecedented in damage, with losses exceeding $40.0 ($42.8) billion."
Southwest/ Southern Plains Drought Summer-Fall 2018,6/1/2018,12/30/2018,0,$3.00 ,"Drought conditions were present across numerous Southwestern and Plains states (TX, OK, KS, MO, CO, NM, AZ, UT). The most extreme drought conditions continue to persist across the Four Corners region of the Southwest. The agriculture sector has been impacted across the affected states including damage to field crops from lack of rainfall. Ranchers have also be forced to sell-off livestock early in some regions due to high feeding costs."
Hurricane Michael October 2018,10/10/2018,10/11/2018,49,$25.00 ,"Powerful category 5 hurricane made landfall at Mexico Beach, Florida with devastating winds of 160 mph and storm surge in excess of 15 feet. Mexico Beach was nearly destroyed, while Panama City suffered extensive damage. Florida's Tyndall Air Force Base also suffered a direct strike from Michael's most intense eye wall winds causing billions in damage costs. Michael's intense winds also reached well inland causing billions in damage costs to agriculture and forestry, as high winds hit during harvest season for numerous crops across several states. Michael is the third category 4 or higher storm to make landfall in the U.S. since 2017. Michael is the first category 5 to strike the U.S. mainland since Hurricane Andrew in 1992 and is only the fourth on record. The others are the Labor Day Hurricane (1935) and Hurricane Camille (1969). Michael was initially rated as a category 4 with 155 winds but upgraded to a category 5 with 160 mph winds upon further analysis."
Hurricane Florence September 2018,9/13/2018,9/16/2018,53,$24.00 ,"Hurricane Florence was a large and very slow moving hurricane that produced extreme rainfall across eastern North Carolina (up to 35.93"") and South Carolina (up to 23.81""), as prodigious amounts of rainfall were common in many locations. Florence made landfall as a category 1, at Wrightsville Beach, NC with damaging storm surge up to 10 feet and wind gusts reported over 100 mph. However, the majority of the damage caused by Florence was due to the rainfall inland, which caused many rivers to surpass previous record flood heights. U.S. Marine base Camp Lejeune in North Carolina suffered extensive damage that will cost billions to repair. The total damage from Florence in North Carolina is more than the cost experienced during Hurricane Matthew (2016) and Hurricane Floyd (1999) combined."
Rockies and Plains Hail Storms August 2018,8/6/2018,8/7/2018,0,$1.00 ,"Severe hail impacts from baseball to softball size impacted several states including Colorado, Nebraska and Wyoming. The most costly impacts occurred in numerous locations of eastern Colorado."
Central and Eastern Tornadoes and Severe Weather July 2018,7/19/2018,7/22/2018,0,$1.60 ,"At least 41 tornadoes and high wind damage from thunderstorms impact numerous Central and Eastern states (MO, IA, IL, IN, KS, KY, AL, AR, GA, TN, NC, SC, VA, MD, PA) over a multi-day event. The tornado damage was most severe across Iowa."
Colorado Hail Storm June 2018,6/18/2018,6/19/2018,0,$2.20 ,"Severe hail storms cause golf ball to baseball-sized hail and widespread damage in many areas from northern Denver to Boulder and Fort Collins. Many homes, businesses and vehicles were impacted. Utah also experienced moderate hail damage."
Texas Hail Storm June 2018,6/6/2018,6/6/2018,0,$1.30 ,"Large-hail impacts highly-populated area of the Dallas-Ft. Worth metroplex. Golfball to baseball-sized hail damages many homes, vehicles and businesses."
Central and Eastern Severe Weather May 2018,5/13/2018,5/15/2018,5,$1.40 ,"Severe storm damage across many Central states including TX, KS, CO, OK, MO, IL, IN, IA and OH. This was followed by a derecho event across the Northeastern states of MD, NJ, NY, PA, VA, WV, MA and CT that caused widespread high wind damage. Also, there were one dozen tornadoes reported across PA, NY and CT causing further damage."
Central and Northeastern Severe Weather May 2018,5/1/2018,5/4/2018,0,$1.40 ,"Numerous central states (KS, NE, OK, TX, NM, MO, IA, IL, IN, OH, WI) were impacted by large hail and tornadoes. Several northeastern states including NY, PA and VT were also impacted by high wind damage from severe storms."
Southern and Eastern Tornadoes and Severe Weather April 2018,4/13/2018,4/16/2018,3,$1.30 ,"Tornadoes and severe storms with large hail cause widespread damage across many Southern and Eastern states (AR, FL, GA, LA, MD, MI, MS, MO, NJ, NY, NC, PA, SC, TX, VA) over a multi-day period. There were over 70 confirmed tornadoes largely clustered in Louisiana, Mississippi, North Carolina and Virginia. This same system also caused winter storm impacts of high wind and ice accumulation in northeastern states."
Southeastern Tornadoes and Severe Weather March 2018,3/18/2018,3/21/2018,0,$1.50 ,"A potent severe storm system caused over 20 tornadoes across Alabama and also widespread hail damage from Texas to Florida. Most notably this system produced an EF-3 tornado that caused extensive damage in Jacksonville, Alabama and across the campus of Jacksonville State University."
Northeast Winter Storm March 2018,3/1/2018,3/3/2018,9,$2.20 ,"Powerful Nor'easter impacted many Northeastern states including MD, MA, NH, NJ, NY, PA, CT, DE, RA and VA. Widespread damage resulted from the combination of high winds, heavy snow and heavy coastal erosion."
Central and Eastern Winter Storm January 2018,1/3/2018,1/5/2018,22,$1.00 ,"A Nor'easter caused damage across many Northeastern states including MA, NJ, NY, CT, ME, NH, PA, MD, RI, SC, TN, VA, NC and GA."
"Western Wildfires, California Firestorm Summer-Fall 2017",6/1/2017,12/31/2017,54,$18.00 ,"A historic firestorm damages or destroys over 15,000 homes, businesses and other structures across California in October. The combined destruction of the Tubbs, Atlas, Nuns and Redwood Valley wildfires represent the most costly wildfire event on record, also causing 44 deaths. Extreme wildfire conditions in early December also burned hundreds of homes in Los Angeles. Numerous other wildfires across many western and northwestern states burn over 9.8 million acres exceeding the 10-year annual average of 6.5 million acres. Montana in particular was affected by wildfires that burned in excess of 1 million acres. These wildfire conditions were enhanced by the preceding drought conditions in several states."
"North Dakota, South Dakota and Montana Drought Spring-Fall 2017",3/1/2017,12/31/2017,0,$2.50 ,"Extreme drought causes extensive impacts to agriculture in North Dakota, South Dakota and Montana. Field crops including wheat were severely damaged and the lack of feed for cattle forced ranchers to sell off livestock. This drought has also contributed to the increased potential for severe wildfires."
Hurricane Maria September 2017,9/19/2017,9/21/2017,2981,$90.00 ,"Category 4 hurricane made landfall in southeast Puerto Rico after striking the U.S. Virgin Island of St. Croix. Maria's high winds caused widespread devastation to Puerto Rico's transportation, agriculture, communication and energy infrastructure. Extreme rainfall up to 37 inches caused widespread flooding and mudslides across the island. The interruption to commerce and standard living conditions will be sustained for a long period, as much of Puerto Rico's infrastructure is rebuilt. Maria tied Hurricane Wilma (2005) for the most rapid intensification, strengthening from tropical depression to a category 5 storm in 54 hours. Maria's landfall at Category 4 strength gives the U.S. a record three Category 4+ landfalls this year (Maria, Harvey, and Irma). Maria was one of the deadliest storms to impact the U.S., with numerous indirect deaths in the wake of the storm's devastation."
Hurricane Irma September 2017,9/6/2017,9/12/2017,97,$50.00 ,"Category 4 hurricane made landfall at Cudjoe Key, Florida after devastating the U.S. Virgin Islands - St John and St Thomas - as a category 5 storm. The Florida Keys were heavily impacted, as 25% of buildings were destroyed while 65% were significantly damaged. Severe wind and storm surge damage also occurred along the coasts of Florida and South Carolina. Jacksonville, FL and Charleston, SC received near-historic levels of storm surge causing significant coastal flooding. Irma maintained a maximum sustained wind of 185 mph for 37 hours, the longest in the satellite era. Irma also was a category 5 storm for longer than all other Atlantic hurricanes except Ivan in 2004."
Hurricane Harvey August 2017,8/25/2017,8/31/2017,89,$125.00 ,"Category 4 hurricane made landfall near Rockport, Texas causing widespread damage. Harvey's devastation was most pronounced due to the large region of extreme rainfall producing historic flooding across Houston and surrounding areas. More than 30 inches of rainfall fell on 6.9 million people, while 1.25 million experienced over 45 inches and 11,000 had over 50 inches, based on 7-day rainfall totals ending August 31. This historic U.S. rainfall caused massive flooding that displaced over 30,000 people and damaged or destroyed over 200,000 homes and businesses."
Midwest Severe Weather June 2017,6/27/2017,6/29/2017,0,$1.40 ,"Severe hail and high wind damage impacting Nebraska, Illinois and Iowa. More than one dozen tornadoes touched down across parts of Iowa, in addition to other storm damage."
Midwest Severe Weather June 2017,6/12/2017,6/16/2017,0,$1.50 ,"Severe hail, high winds and numerous tornadoes impact many states over several days including WY, TX, NE, KS, MO, IA, IL, PA, VA, NY."
Minnesota Hail Storm and Upper Midwest Severe Weather June 2017,6/9/2017,6/11/2017,0,$2.40 ,"Severe hail and high winds cause considerable damage across Minnesota and Wisconsin. The Minneapolis metro area in particular was damaged from large, destructive hail impacting many buildings and vehicles. This damage is comparable to the May 15, 1998 Minnesota hail storm that was also very costly."
Colorado Hail Storm and Central Severe Weather May 2017,5/8/2017,5/11/2017,0,$3.40 ,"Hail storm and wind damage impacting several states including CO, OK, TX, NM, MO. The most costly impacts were in the Denver metro region where baseball-sized hail caused the most expensive hail storm in Colorado history, with insured losses exceeding $2.2 ($2.4) billion."
Missouri and Arkansas Flooding and Central Severe Weather May 2017,4/25/2017,5/7/2017,20,$1.70 ,"A period of heavy rainfall up to 15 inches over a multi-state region in the Midwest caused historic levels of flooding along many rivers. The flooding was most severe in Missouri, Arkansas and southern Illinois where levees were breached and towns were flooded. There was widespread damage to homes, businesses, infrastructure and agriculture. Severe storms also caused additional impacts during the flooding event across a number of central and southern states."
